Category,Item,Priority,Detail,Keep,Your notes
Watch jurisdiction,(your Texas counties),High,"the counties you serve or are pursuing, these become the frozen Coverage denominator",Y,
Watch jurisdiction,(your Texas cities),High,"incorporated cities on your target list",Y,
Watch jurisdiction,(named districts / COGs),Medium,"only specific districts or COGs you name, we do not count the full universe of TX special districts",Y,
Watch jurisdiction,(add more here),,"",Y,
Program keyword,NG911 / PSAP upgrades,High,"public-program funding & procurement (your area 1)",Y,
Program keyword,Capital Projects Fund,High,"public-program funding & procurement (your area 1)",Y,
Program keyword,Water / PFAS remediation,High,"public-program funding & procurement (your area 1)",Y,
Program keyword,Broadband / BEAD,High,"core platform programs",Y,
Program keyword,Rural Health Transformation Program,Medium,"rural-health & community access (your area 2)",Y,
Program keyword,Library / community-based telehealth,Medium,"rural-health & community access (your area 2)",Y,
Program keyword,Workforce access points,Medium,"rural-health & community access (your area 2)",Y,
Program keyword,Pole attachments / make-ready,High,"permit class you named on the 6/02 call",Y,
Program keyword,Federal NEPA / state environmental review,Medium,"permit class you named on the 6/02 call",Y,
Program keyword,Edge data center siting,Medium,"your hardware mode",Y,
Program keyword,Telehealth portal deployment,Medium,"your hardware mode",Y,
Program keyword,(add more here),,"",Y,
Target entity,Pole owners (TX),High,"the jurisdiction directory: who controls make-ready",Y,
Target entity,Utility agencies / electric co-ops,High,"jurisdiction directory",Y,
Target entity,TxDOT districts,Medium,"jurisdiction directory",Y,
Target entity,(carriers / developers you track),Medium,"any specific company whose Texas filings you want flagged",Y,
Target entity,(add more here),,"",Y,
Siting signal,Zoning & site plan activity,High,"infrastructure siting (your area 3), live policy-spread topic in TX today",Y,
Siting signal,Moratoria (towers / data centers / solar),High,"infrastructure siting (your area 3)",Y,
Siting signal,Tower / structure filings (FAA pre-construction),High,"infrastructure siting (your area 3)",Y,
Siting signal,(add more here),,"",Y,
Policy / comparable,PFAS spread across TX jurisdictions,Medium,"policy-spread topic from your proposal",Y,
Policy / comparable,Data-center and solar siting policy,Medium,"policy-spread topic from your proposal",Y,
Policy / comparable,Library-telehealth adoption,Medium,"policy-spread topic from your proposal",Y,
Policy / comparable,(add more here),,"",Y,
Early warning,Permit items drifting toward the 90-day clock,High,"the NTIA mandate watch from the 6/02 call, status + last-updated on every item",Y,
Early warning,Projects advancing stage (planning to procurement),High,"the pre-RFP window your proposal is about",Y,
Scope & cadence,Geographic focus,High,"Texas only for the pilot",Y,
Scope & cadence,Delivery cadence,High,"weekly structured pull, CSV/JSON or read access, internal use only",Y,
Scope & cadence,Tuning loop,High,"mark the Useful? column on what landed and return it; relevance sharpens, noise drops",Y,
