municipality,doc_type,priority,source_layer,summary,monetary_amounts,detected_at
Corte Madera,financial_report,MEDIUM,municipal_scraper,"This budget comparison report for Corte Madera, CA, reveals a strong reliance on external vendors, with over $10.5 million budgeted for 'Outside Services' in FY 2019-2020. The Public Works department ","[""$10,514,162"", ""$3,659,286"", ""$2,683,598"", ""$1,193,682"", ""$410,100"", ""$296,300"", ""$282,000"", ""$270,000"", ""$71,500"", ""$66,500""]",2026-03-20T03:31:40.482268
Richmond,financial_report,HIGH,municipal_scraper,"This budget analysis from FY12 to FY24 reveals significant growth in departmental spending, particularly in Public Works, IT, and Planning/Zoning, indicating increased municipal activity and potential","[""$116,599"", ""$84,881"", ""$543,255"", ""$936,771"", ""$333,732"", ""$546,781"", ""$78,000"", ""$332,800"", ""$4,510,854"", ""$384,269"", ""$1,388,255"", ""$131,500"", ""$368,100"", ""$3,460,217"", ""$6,796,899""]",2026-03-20T03:31:40.482268
Wells,financial_report,MEDIUM,municipal_scraper,"This Town of Wells warrant report from June 15, 2021, details payments to various vendors, highlighting infrastructure spending. Key signals include a payment to Central Maine Power (an Avangrid subsi","[""$46,384"", ""$12,180"", ""$10,417"", ""$5,579"", ""$12,375"", ""$5,245"", ""$5,000"", ""$5,000"", ""$5,500"", ""$13,163"", ""$13,580"", ""$97,297"", ""$99,864"", ""$97,146"", ""$6,135"", ""$79,506"", ""$30,503"", ""$10,425"", ""$30,914"", ""$49,664"", ""$14,685"", ""$20,332"", ""$45,936"", ""$7,188"", ""$1,693,852"", ""$6,480"", ""$2,668,093"", ""$697,725.00"", ""$1,693,852.28""]",2026-03-19T03:54:24.340114
Plano,financial_report,MEDIUM,municipal_scraper,"This document is a vendor payment authorization from Plano, IL, totaling $18,235.18. The most significant item is a $16,690.90 payment to the Illinois EPA for a well house project, signaling active ca","[""$18,235.18"", ""$274.15"", ""$113.27"", ""$147.07"", ""$114.58"", ""$163.14"", ""$16,690.90"", ""$226.80"", ""$100.50"", ""$199.51"", ""$205.26"", ""$1,544.28""]",2026-03-19T03:54:24.340114
Geneva,check_register,MEDIUM,municipal_scraper,"This check register details expenditures for Geneva, IL, including significant payments for infrastructure projects like sanitary sewer excavation and pavement maintenance. It also shows ongoing opera","[""$3,687,728.70"", ""$404.95"", ""$639,880.09"", ""$18,525.35"", ""$101,980.35"", ""$4,448,519.44"", ""$80,077.05"", ""$399.00"", ""$1,100.00"", ""$304,848.39"", ""$766.45"", ""$2,943,657.88"", ""$307,203.50"", ""$20.12"", ""$4,056.23"", ""$1,953.35"", ""$10,374.30"", ""$3,675,069.27"", ""$9,350.00"", ""$4,798.75"", ""$490.58"", ""$12,353.32"", ""$12,460.23"", ""$24,813.55"", ""$6,771.26"", ""$127.50"", ""$100.00"", ""$238.50"", ""$238.50"", ""$477.00"", ""$60.00"", ""$35.90"", ""$35.90"", ""$35.90"", ""$35.90"", ""$143.60"", ""$146.61"", ""$582.34"", ""$2,927.89"", ""$218.18"", ""$212.57"", ""$218.18"", ""$316.40"", ""$4,475.56"", ""$73.23"", ""$99.99"", ""$11.29"", ""$98.89"", ""$18.81"", ""$18.81"", ""($17.18)"", ""$3.62"", ""$11.37"", ""$56.30"", ""$43.39"", ""$57.99"", ""$49.14"", ""$28.72"", ""$36.28"", ""$48.29"", ""$38.76"", ""$122.94"", ""$15.47"", ""$8.97"", ""$21.15"", ""$5.49"", ""$12.76"", ""$126.42"", ""$15.72"", ""$163.99"", ""($69.40)"", ""$29.18"", ""$200.82"", ""$81.97"", ""$7.24"", ""$20.36"", ""$17.52"", ""$4.79"", ""$37.95"", ""$4.90"", ""$35.78"", ""($67.62)"", ""$16.87"", ""$20.98"", ""$1,511.95"", ""$86.21"", ""$52,045.55"", ""$1,095.93"", ""$304,848.39"", ""$14.95"", ""$191.00"", ""$257.00"", ""$323.00"", ""$191.00"", ""$257.00"", ""$257.00"", ""$1,476.00"", ""$6,940.28"", ""$34.21"", ""$18.93"", ""$53.14"", ""$7,538.72"", ""$140.00"", ""$431.35""]",2026-03-19T03:54:24.340114
Geneva,check_register,HIGH,municipal_scraper,"This check register details payments made by Geneva, IL, on January 6, 2020, totaling over $1.47 million. Significant expenditures include water/wastewater services ($590K), electric services ($296K),","[""$98,661.63"", ""$64,020.45"", ""$232.57"", ""$1,155.66"", ""$644.78"", ""$225.57"", ""$103.00"", ""$100.94"", ""$276.04"", ""$156,748.45"", ""$93,836.68"", ""$92.11"", ""$296,866.58"", ""$590,052.75"", ""$120,998.03"", ""$1,866.36"", ""$3,785.55"", ""$5,407.25"", ""$11,093.00"", ""$29,285.03"", ""$1,475,553.37"", ""$11,004.08"", ""$2,065.57"", ""$69.00"", ""$2,134.57"", ""$2,284.45"", ""$238.00"", ""$22.03"", ""$144.48"", ""$490.00"", ""$113.94"", ""$64.97"", ""$8.72"", ""$39.99"", ""$37.68"", ""$109.76"", ""$20.58"", ""$145.91"", ""$426.80"", ""$994.93"", ""$152.75"", ""$77.31"", ""$411.82"", ""$3,261.67"", ""$23,780.00"", ""$2,060.00"", ""$25,840.00"", ""$50.00"", ""$126.40"", ""$249.28"", ""$634.12"", ""$883.40"", ""$167.20"", ""$387.26"", ""$211.88"", ""$311.40"", ""$166.55"", ""$1,555.69"", ""$2,022.02"", ""$50.16"", ""$9.00"", ""$59.16"", ""$188.50"", ""$24.64"", ""$1,159.00"", ""$76.96"", ""$27,974.30"", ""$81,952.70"", ""$2,851.32"", ""$100.00"", ""$2,572.83"", ""$134,530.72"", ""$137,103.55"", ""$500.00"", ""$69.20"", ""$4,666.32"", ""$53.01"", ""$4,719.33"", ""$429.19"", ""$1,064.19"", ""$1,493.38"", ""$450.00"", ""$1,063.80"", ""$4,343.45"", ""$5,407.25"", ""$46,098.50"", ""$90.00"", ""$46,188.50"", ""$1,077.00"", ""$175.00"", ""$210.00"", ""$11.64"", ""$234.15"", ""$245.79"", ""$27.00"", ""$1,600.00"", ""$2,724.30"", ""$4,324.30"", ""$2,891.00""]",2026-03-19T03:54:24.340114
Geneva,check_register,MEDIUM,municipal_scraper,"This check register details significant municipal expenditures for February 2020, totaling over $3.7 million. Key spending areas include payroll, utilities (electric, water/wastewater), and various ve","[""$2,968,557.55"", ""$682.45"", ""$655,209.54"", ""$22,125.58"", ""$81,664.39"", ""$3,728,239.51"", ""$134,041.53"", ""$141.00"", ""$7,785.14"", ""$29,578.87"", ""$1,894.20"", ""$148.82"", ""$5,025.00"", ""$63.90"", ""$2,690,852.41"", ""$384.00"", ""$79,756.25"", ""$3,348.63"", ""$4,444.80"", ""$11,093.00"", ""$7,359.00"", ""$428.69"", ""$906.01"", ""$950.40"", ""$3,211.57"", ""$136.50"", ""$1,355.00"", ""$895.64"", ""$560.00"", ""$1,130.00"", ""$83.00"", ""$2,490.00"", ""$17.00"", ""$75.42"", ""$803.54"", ""$871.75"", ""$168.06"", ""$64.00"", ""$44.95"", ""$7.52"", ""$9,413.41"", ""$25.50"", ""$143.00"", ""$76.96"", ""$42,625.14"", ""$4,880.54"", ""$60.00"", ""$650.00"", ""$6,940.28"", ""$500.00"", ""$255.00"", ""$80.41"", ""$39.22"", ""$62.50"", ""$140.00"", ""$1,210.40"", ""$431.35"", ""$5.73""]",2026-03-19T03:54:24.340114
Geneva,check_register,HIGH,municipal_scraper,"This check register details significant municipal expenditures for February 3, 2020, totaling over $1 million. Key spending areas include infrastructure capital projects, water/wastewater services, an","[""$95,624.73"", ""$16,429.25"", ""$42,886.13"", ""$150.00"", ""$137.29"", ""$1,200.00"", ""$51,217.15"", ""$13,340.29"", ""$87.02"", ""$716,895.98"", ""$87,861.08"", ""$20.31"", ""$3,864.05"", ""$4,799.46"", ""$10,593.00"", ""$402.42"", ""$1,045,508.16"", ""$150.00"", ""$39.00"", ""$1,876.20"", ""$20.00"", ""$445.66"", ""$3,597.00"", ""$75.42"", ""$7,769.71"", ""$2,022.02"", ""$32,473.50"", ""$525.80"", ""$355.00"", ""$14.40"", ""$198.00"", ""$42,092.18"", ""$145.88"", ""$13,222.64"", ""$195.00"", ""$720.00"", ""$35.39"", ""$4,810.39"", ""$42,011.00"", ""$2,444.00"", ""$164.00"", ""$4,799.46"", ""$17.36"", ""$750.00"", ""$600.00"", ""$81.08"", ""$4,888.41"", ""$3,370.50"", ""$2,704.00"", ""$880.28"", ""$2,501.35"", ""$15,177.06""]",2026-03-19T03:54:24.340114
"Lowell, MA",budget,MEDIUM,municipal_scraper,The FY2023 Adopted Budget for the City of Lowell indicates potential investment signals related to infrastructure development and fiscal management. The document highlights areas of budget pressure su,[],2026-03-18T23:34:14.474500
"Midland, TX",budget,HIGH,municipal_scraper,"The City of Midland's FY2026 adopted budget indicates a 4.80% increase in property tax revenue, totaling $3,664,292, and a total debt obligation of $14,491,138. The budget also outlines specific funds","[""$3,664,292"", ""$1,141,762"", ""$14,491,138""]",2026-03-18T23:34:14.474500
