Category,Item,Priority,Detail,Keep,Your notes
Watch community,Portland,High,"ME - Press Herald flagship - Greater Portland",Y,
Watch community,Waterville,High,"ME - Morning Sentinel - active coverage, central Maine",Y,
Watch community,Augusta,High,"ME - Kennebec Journal - state capital; record thinner last quarter, a deepening target the training line funds",Y,
Watch community,Lewiston,High,"ME - Sun Journal - Androscoggin",Y,
Watch community,Auburn,High,"ME - Sun Journal - Androscoggin twin city",Y,
Watch community,Biddeford,Medium,"ME - southern Maine / York County - active",Y,
Watch community,Saco,Medium,"ME - southern Maine / York County - active",Y,
Watch community,Brunswick,Medium,"ME - Times Record / Midcoast - Bath Iron Works area",Y,
Watch community,Falmouth,Medium,"ME - Forecaster / Greater Portland - active",Y,
Watch community,Westbrook,Medium,"ME - Greater Portland - very active municipal record",Y,
Watch community,South Portland,Medium,"ME - Greater Portland",Y,
Watch community,Scarborough,Low,"ME - Greater Portland - thinner record, onboarding target",Y,
Watch community,(add or drop communities here),,"aim for the 10 to 12 that map to your papers",Y,
Beat / desk,Local government & council,High,"council, select board, planning board, budget committee actions",Y,
Beat / desk,Development & zoning,High,"site plans, subdivisions, rezonings, variances, large projects",Y,
Beat / desk,Business & economy / jobs,High,"openings, closures, expansions, layoffs, major employers",Y,
Beat / desk,Taxes & budgets,High,"municipal budgets, tax-rate changes, bonds, audits",Y,
Beat / desk,Housing,High,"affordable housing, density, state housing law, short-term rentals",Y,
Beat / desk,Schools & education,Medium,"school board, budgets, consolidations, referenda",Y,
Beat / desk,Public safety & courts,Medium,"police, fire, public-safety spend, notable cases",Y,
Beat / desk,Environment & water,Medium,"PFAS, water and sewer, contamination, conservation",Y,
Beat / desk,Health care,Medium,"hospital moves, closures, service changes",Y,
Beat / desk,Transportation & infrastructure,Medium,"roads, bridges, transit, broadband, capital plans",Y,
Beat / desk,(add or drop beats here),,"",Y,
Story-topic keyword,Budget / tax-rate increase,High,"",Y,
Story-topic keyword,Layoffs / WARN filing / plant or mill closure,High,"WARN is a state filing, an early closure tremor",Y,
Story-topic keyword,Large development / distribution center / big-box,High,"e.g. the Waterville Amazon distribution-center lead in the sample",Y,
Story-topic keyword,Housing / zoning overlay / density reform,High,"",Y,
Story-topic keyword,PFAS / water contamination,High,"",Y,
Story-topic keyword,Data center,Medium,"siting, moratoria, power demand",Y,
Story-topic keyword,Broadband expansion / grants,Medium,"",Y,
Story-topic keyword,Short-term rentals / Airbnb rules,Medium,"spreads town to town",Y,
Story-topic keyword,School consolidation / referendum,Medium,"",Y,
Story-topic keyword,Solar / wind siting / moratorium,Medium,"",Y,
Story-topic keyword,Opioid settlement funds,Medium,"",Y,
Story-topic keyword,Cannabis / marijuana licensing,Low,"",Y,
Story-topic keyword,(add or drop topics here),,"",Y,
Watch institution / employer,Bath Iron Works (BIW),High,"Brunswick / Midcoast - largest regional employer",Y,
Watch institution / employer,Central Maine Power / Versant,Medium,"rate cases, infrastructure, siting",Y,
Watch institution / employer,"Northern Light / MaineHealth / MaineGeneral hospitals",Medium,"service changes, closures, expansions",Y,
Watch institution / employer,Colby College (Waterville),Medium,"downtown development, major local actor",Y,
Watch institution / employer,University of Maine / USM,Medium,"",Y,
Watch institution / employer,Bowdoin College (Brunswick),Low,"",Y,
Watch institution / employer,Bates College (Lewiston),Low,"",Y,
Watch institution / employer,Amazon / national logistics developers,Medium,"distribution-center siting",Y,
Watch institution / employer,(add the employers that move your towns),,"",Y,
Cross-town topic (spreads),Zoning / density reform (state housing law),High,"the it-is-coming-to-your-town-too story",Y,
Cross-town topic (spreads),Short-term rental ordinances,Medium,"",Y,
Cross-town topic (spreads),Data-center moratoria,Medium,"",Y,
Cross-town topic (spreads),PFAS testing / disposal rules,Medium,"",Y,
Cross-town topic (spreads),Solar moratoria / siting standards,Medium,"",Y,
Cross-town topic (spreads),(add more here),,"",Y,
Editorial trigger,Large or no-bid public contract,High,"",Y,
Editorial trigger,Contested public hearing (packed agenda / opposition),High,"",Y,
Editorial trigger,Big budget swing or tax increase,High,"",Y,
Editorial trigger,Major development application,High,"",Y,
Editorial trigger,"Leadership turnover (manager, chief, superintendent)",Medium,"",Y,
Editorial trigger,Referendum / ballot question,Medium,"",Y,
Editorial trigger,(add more here),,"",Y,
Scope & cadence,Geographic focus to start,High,"the 10 to 12 pilot communities across Maine, mapped to your papers",Y,
Scope & cadence,Delivery cadence,High,"weekly source-linked email digest + a matching CSV of the same items",Y,
Scope & cadence,Depth default,High,"a scannable lead per item; a deeper signal-chain on stories a reporter escalates",Y,
Scope & cadence,Tuning loop,High,"mark Useful on the leads that became real reporting, reply, and relevance sharpens",Y,
Scope & cadence,Official start + onboarding session,High,"see the timeline; these are the two dates we lock on the call",Y,
Scope & cadence,(add more here),,"",Y,
